country,year,gdpPercap,lifeExp,code,log_gdppc
Cuba,1824,1140,36.4,cu,2.45484486000851
Dominican Republic,1824,684,29.9,do,2.2329961103921536
Ecuador,1824,544,32.9,ec,2.1335389083702174
El Salvador,1824,1010,28.7,sv,2.40226138245468
Guatemala,1824,888,25.8,gt,2.346352974450639
Honduras,1824,712,33.9,hn,2.250420002308894
Mexico,1824,1370,26.9,mx,2.534660575828444
Nicaragua,1824,1020,25.4,ni,2.406540180433955
Panama,1824,889,32.9,pa,2.346841769642251
Paraguay,1824,881,35.5,py,2.3429159170840856
Peru,1824,1220,35.7,pe,2.484299839346786
Spain,1824,1540,29.5,es,2.5854607295085006
Uruguay,1824,1940,32.9,uy,2.6857417386022635
Venezuela,1824,696,32.2,ve,2.2405492482826
Argentina,1825,1620,33.2,ar,2.6074550232146687
Bolivia,1825,898,33,bo,2.351216345339342
Brazil,1825,1120,32,br,2.4471580313422194
Chile,1825,990,32,cl,2.3935752032695876
Colombia,1825,978,32,co,2.388278863459639
Costa Rica,1825,822,30.2,cr,2.312811826212088
Cuba,1825,1150,36.2,cu,2.4586378490256493
Dominican Republic,1825,687,29.9,do,2.234896745731588
Ecuador,1825,548,32.9,ec,2.1367205671564067
El Salvador,1825,1020,28.7,sv,2.406540180433955
Guatemala,1825,895,25.8,gt,2.3497630439879496
Honduras,1825,721,33.9,hn,2.2558752733914664
Mexico,1825,1370,26.9,mx,2.534660575828444
Nicaragua,1825,1030,25.4,ni,2.41077723337721
Panama,1825,899,32.9,pa,2.351699700405266
Paraguay,1825,892,35.5,py,2.3483048630481607
Peru,1825,1220,35.7,pe,2.484299839346786
Spain,1825,1540,29.5,es,2.5854607295085006
Uruguay,1825,1980,32.9,uy,2.694605198933569
Venezuela,1825,699,32.2,ve,2.242417184417719
Argentina,1826,1650,33.2,ar,2.6154239528859438
Bolivia,1826,906,33,bo,2.3550682063488506
Brazil,1826,1130,32,br,2.4510184521554574
Chile,1826,998,32,cl,2.397070549959409
Colombia,1826,980,32,co,2.3891660843645326
Costa Rica,1826,831,30.2,cr,2.3175410324561487
Cuba,1826,1170,36.1,cu,2.466125870418199
Dominican Republic,1826,691,29.9,do,2.237418056046236
Ecuador,1826,551,32.9,ec,2.139091607523823
El Salvador,1826,1030,28.7,sv,2.41077723337721
Guatemala,1826,903,25.8,gt,2.353627758985543
Honduras,1826,730,33.9,hn,2.2612628687924934
Mexico,1826,1360,26.9,mx,2.531478917042255
Nicaragua,1826,1040,25.4,ni,2.4149733479708178
Panama,1826,909,32.9,pa,2.356503891894005
Paraguay,1826,903,35.5,py,2.353627758985543
Peru,1826,1230,35.7,pe,2.4878451201114355
Spain,1826,1540,29.5,es,2.5854607295085006
Uruguay,1826,2030,32.9,uy,2.7054360465852505
Venezuela,1826,702,32.2,ve,2.244277120801843
Argentina,1827,1670,33.2,ar,2.620656479819621
